particle,class,umap1,umap2,tsne1,tsne2
aligned_tom200_P0002.mrc,1,5.231469,1.448179,5.354869,-3.478426
aligned_tom200_P0003.mrc,1,6.453968,2.856103,-0.126136,3.373087
aligned_tom200_P0004.mrc,2,5.648279,1.574733,-16.223951,-13.053013
aligned_tom201_P0001.mrc,1,6.242716,1.910416,-2.469291,0.632348
aligned_tom201_P0002.mrc,1,5.106380,1.877023,8.516957,5.143042
aligned_tom202_P0001.mrc,1,7.127484,1.725447,10.110185,-8.071232
aligned_tom203_P0001.mrc,2,8.704116,0.440226,-15.241041,-8.625330
aligned_tom203_P0002.mrc,2,7.533492,3.988216,-1.772774,11.920923
aligned_tom203_P0003.mrc,1,7.182320,1.274781,14.676089,-8.649493
aligned_tom204_P0001.mrc,1,6.267808,2.992866,3.992316,5.657969
aligned_tom205_P0001.mrc,1,5.134861,1.041077,-5.614365,-15.980953
aligned_tom205_P0002.mrc,1,6.320046,-0.269174,-6.164019,-0.325594
aligned_tom205_P0003.mrc,2,7.717227,4.369789,-2.678889,14.134706
aligned_tom205_P0004.mrc,2,5.516220,3.285066,-1.578066,8.500565
aligned_tom206_P0001.mrc,1,8.217083,0.944771,-7.788479,-1.340506
aligned_tom206_P0002.mrc,1,7.097790,0.737454,1.063353,-11.616408
aligned_tom206_P0003.mrc,1,6.275009,0.888171,3.399491,-4.806105
aligned_tom207_P0001.mrc,1,8.067794,1.709065,-5.385527,-1.898987
aligned_tom207_P0002.mrc,1,6.116926,0.492026,-0.963566,-7.977176
aligned_tom207_P0003.mrc,1,5.868885,1.303064,2.435204,-3.059407
aligned_tom207_P0004.mrc,1,8.490540,0.365012,-10.727391,-6.434915
aligned_tom208_P0001.mrc,2,7.424633,4.664275,0.568397,18.014891
aligned_tom209_P0001.mrc,1,6.319147,1.730275,5.839656,-6.703211
aligned_tom20_P0001.mrc,2,7.013437,3.549354,-11.902510,14.538095
aligned_tom210_P0001.mrc,1,7.384310,2.274003,15.046695,-11.923025
aligned_tom211_P0001.mrc,2,7.037320,4.077840,-4.191236,13.692047
aligned_tom211_P0002.mrc,2,7.842154,4.537212,1.013559,17.995619
aligned_tom211_P0003.mrc,2,8.382740,5.003009,2.189829,22.478453
aligned_tom211_P0004.mrc,1,6.103168,2.198357,-1.574824,-6.410764
aligned_tom212_P0001.mrc,1,6.562360,0.041968,10.937790,-5.995632
aligned_tom212_P0002.mrc,2,6.397473,3.479557,-3.567982,9.311523
aligned_tom212_P0003.mrc,1,7.654923,-0.428581,-8.003030,-18.862034
aligned_tom212_P0004.mrc,1,8.423932,-0.136073,8.250519,-5.884023
aligned_tom213_P0001.mrc,1,5.394332,-0.155621,-11.726165,-10.943329
aligned_tom213_P0002.mrc,1,7.965376,1.004164,-5.818767,-9.867041
aligned_tom214_P0001.mrc,2,7.312006,1.997217,14.465615,-11.319959
aligned_tom214_P0002.mrc,2,8.013147,5.007694,8.133322,17.370657
aligned_tom214_P0003.mrc,2,7.705917,4.902544,4.594020,18.009697
aligned_tom214_P0004.mrc,2,7.942093,4.999510,8.097985,17.517553
aligned_tom214_P0005.mrc,2,8.208943,4.370390,2.285661,19.750599
aligned_tom215_P0001.mrc,2,7.615197,3.767307,10.958279,12.026416
aligned_tom216_P0001.mrc,1,7.697460,0.032276,-4.922987,-10.874153
aligned_tom216_P0002.mrc,1,7.575063,1.547016,-0.198581,-5.517428
aligned_tom217_P0001.mrc,1,5.288211,0.906358,-8.754665,-10.865355
aligned_tom218_P0001.mrc,1,7.766411,0.800668,8.094400,-8.971718
aligned_tom218_P0002.mrc,1,7.736907,0.903598,-6.428741,-6.284035
aligned_tom219_P0001.mrc,2,7.375772,3.326029,1.394411,9.438319
aligned_tom219_P0002.mrc,1,6.805214,1.195312,-1.406417,-5.501162
aligned_tom219_P0003.mrc,1,7.358359,1.057732,7.106723,-11.239464
aligned_tom21_P0001.mrc,1,8.365232,1.576193,4.373595,1.016584
aligned_tom21_P0002.mrc,1,5.534575,1.352964,7.722642,-2.889514
aligned_tom21_P0003.mrc,1,5.992982,1.198036,3.653197,-7.225573
aligned_tom21_P0004.mrc,1,8.037118,-0.131594,-3.731126,-12.375252
aligned_tom21_P0005.mrc,1,6.410591,1.331990,-2.011784,-0.883324
aligned_tom21_P0006.mrc,1,7.079552,2.041627,0.571143,-2.155291
aligned_tom21_P0007.mrc,1,8.158965,2.052109,-8.489549,-3.377321
aligned_tom220_P0001.mrc,1,6.710910,0.168055,1.733414,-6.187977
aligned_tom220_P0002.mrc,1,6.107015,0.696962,1.950904,-5.002372
aligned_tom220_P0003.mrc,2,8.098797,5.519327,7.193198,18.687719
aligned_tom220_P0004.mrc,1,6.332299,0.067586,-6.552087,7.008529
aligned_tom221_P0001.mrc,1,6.982517,0.057993,-1.653648,-12.785907
aligned_tom221_P0002.mrc,1,5.160278,0.340711,-8.513706,-12.444834
aligned_tom221_P0003.mrc,1,6.971450,1.568066,0.133435,-5.119142
aligned_tom221_P0004.mrc,1,6.466773,1.281984,9.952276,-7.871350
aligned_tom221_P0005.mrc,1,7.991113,3.922774,-10.920912,18.694466
aligned_tom222_P0001.mrc,1,8.536411,0.978673,-9.001567,-1.270987
aligned_tom222_P0002.mrc,2,7.325662,1.551323,13.227580,-10.421787
aligned_tom222_P0003.mrc,1,8.414309,3.328622,14.431548,10.169777
aligned_tom222_P0004.mrc,1,7.758149,0.468553,0.779504,-12.877267
aligned_tom222_P0005.mrc,1,5.450623,-0.094363,-12.505165,-13.741309
aligned_tom222_P0006.mrc,2,7.481172,5.123277,3.714367,15.696214
aligned_tom222_P0007.mrc,1,5.135756,0.916737,5.302271,4.693479
aligned_tom223_P0001.mrc,2,8.335026,4.669984,6.443709,16.242392
aligned_tom223_P0002.mrc,2,5.738362,3.580122,-0.043225,8.718454
aligned_tom223_P0003.mrc,2,7.110339,3.835231,-10.280886,22.078552
aligned_tom223_P0004.mrc,2,8.271891,3.846000,3.276588,18.710039
aligned_tom223_P0005.mrc,1,7.239230,0.643193,-2.366030,-8.348987
aligned_tom224_P0001.mrc,2,7.397115,4.647382,-2.524371,19.865765
aligned_tom224_P0002.mrc,1,7.738792,1.435203,-3.427632,-6.076112
aligned_tom224_P0003.mrc,1,7.225555,-0.558259,-5.613650,-20.385769
aligned_tom225_P0001.mrc,1,6.482762,1.681176,6.878375,-6.456637
aligned_tom226_P0001.mrc,1,7.692256,0.511564,-8.531164,-4.997564
aligned_tom226_P0002.mrc,1,7.740458,1.700705,0.913282,0.112742
aligned_tom227_P0001.mrc,1,7.255041,-0.351326,-3.393108,-13.665695
aligned_tom227_P0002.mrc,1,6.747698,0.740151,5.526144,-10.410623
aligned_tom227_P0003.mrc,1,5.687451,1.704637,4.764082,-4.283074
aligned_tom227_P0004.mrc,2,7.997612,5.147474,7.006821,20.495777
aligned_tom228_P0001.mrc,1,5.701837,1.845225,4.679834,-6.062406
aligned_tom228_P0002.mrc,2,7.118473,4.324737,-5.975307,16.363293
aligned_tom228_P0003.mrc,2,8.638083,3.260996,-7.439403,12.861908
aligned_tom228_P0004.mrc,2,6.846839,5.074489,3.722635,11.660357
aligned_tom228_P0005.mrc,1,7.094969,1.213589,2.906206,-14.646351
aligned_tom229_P0001.mrc,2,7.098162,4.738683,4.855702,14.929986
aligned_tom22_P0001.mrc,2,7.481690,2.942398,-10.352983,5.071220
aligned_tom230_P0001.mrc,1,7.858746,3.610170,0.096429,11.096766
aligned_tom230_P0002.mrc,1,7.930817,-0.238070,-5.323444,-11.057185
aligned_tom230_P0003.mrc,1,5.917055,2.000442,-1.628021,0.408520
aligned_tom230_P0004.mrc,1,7.056323,2.534675,10.210057,2.895006
aligned_tom230_P0005.mrc,2,8.693283,4.408792,10.137680,18.051315
aligned_tom231_P0001.mrc,2,7.698025,3.680069,-0.170935,10.819249
aligned_tom231_P0002.mrc,2,6.682506,4.778066,6.548972,11.800798
aligned_tom231_P0003.mrc,2,7.590079,5.392980,6.215727,17.817156
aligned_tom231_P0004.mrc,1,8.255595,1.064670,-11.758612,-5.326837
aligned_tom231_P0005.mrc,1,8.912503,0.678077,-13.792235,-3.399011
aligned_tom231_P0006.mrc,2,7.677511,4.745032,-1.200563,19.894432
aligned_tom231_P0007.mrc,2,5.644986,2.426559,-1.767250,11.495762
aligned_tom231_P0008.mrc,2,8.060043,4.937395,7.040419,16.849541
aligned_tom232_P0001.mrc,1,5.876785,0.386194,2.331216,-20.960682
aligned_tom232_P0002.mrc,1,6.381094,0.761934,3.995808,-11.276575
aligned_tom232_P0003.mrc,1,5.694271,1.373132,3.923686,-2.914062
aligned_tom233_P0001.mrc,1,7.918844,0.362814,-9.575406,-6.375591
aligned_tom233_P0002.mrc,2,7.142729,4.813669,2.409091,13.557596
aligned_tom233_P0003.mrc,1,6.733469,4.015357,-3.561680,12.658779
aligned_tom234_P0001.mrc,1,7.562894,1.524264,6.402546,-8.240297
aligned_tom234_P0002.mrc,2,6.957615,5.184493,6.014388,13.142232
aligned_tom234_P0003.mrc,2,6.699810,4.867512,6.168755,13.441119
aligned_tom235_P0001.mrc,1,8.143374,-0.029170,-5.111434,-12.968458
aligned_tom235_P0002.mrc,2,7.880116,4.583605,4.073990,17.413700
aligned_tom235_P0003.mrc,1,8.115243,2.700122,-0.471383,-14.553286
aligned_tom236_P0001.mrc,1,8.681863,1.000712,-10.753238,-3.787175
aligned_tom236_P0002.mrc,1,4.983306,0.967144,5.835511,4.742007
aligned_tom237_P0001.mrc,1,8.327353,1.657736,-6.371732,-2.333610
aligned_tom237_P0002.mrc,1,8.017806,1.093156,5.475670,2.565499
aligned_tom237_P0003.mrc,1,5.844289,0.061949,-8.434637,-16.779776
aligned_tom237_P0004.mrc,2,5.767296,1.908246,12.339600,4.675066
aligned_tom237_P0005.mrc,1,7.884907,2.359294,14.828265,-0.950600
aligned_tom238_P0001.mrc,1,8.877369,1.287707,-10.740454,1.402900
aligned_tom238_P0002.mrc,2,8.485374,1.445177,-17.926924,-4.431376
aligned_tom238_P0003.mrc,1,7.099868,1.027789,5.038257,-13.628073
aligned_tom238_P0004.mrc,1,7.766326,-0.303729,-4.272682,-14.287870
aligned_tom238_P0005.mrc,2,8.429062,2.287287,-16.241875,8.039214
aligned_tom238_P0006.mrc,1,7.493255,-0.158132,-6.824763,-13.350269
aligned_tom239_P0001.mrc,1,7.280650,0.766414,11.599731,-12.524693
aligned_tom239_P0002.mrc,1,8.303889,0.700901,-2.328069,-15.376476
aligned_tom239_P0003.mrc,1,5.143116,1.667823,11.408032,0.878817
aligned_tom239_P0004.mrc,1,8.444380,1.640213,13.471522,-4.745260
aligned_tom23_P0001.mrc,2,5.609534,3.428250,-0.637851,8.223884
aligned_tom23_P0002.mrc,1,6.359764,1.102557,6.965827,-14.720348
aligned_tom23_P0003.mrc,1,8.078622,1.464704,-4.840729,-6.131701
aligned_tom240_P0001.mrc,1,7.366136,-0.298982,-2.701782,-12.472362
aligned_tom240_P0002.mrc,2,7.793382,4.858872,-2.711215,15.578659
aligned_tom240_P0003.mrc,1,6.371636,2.621178,-1.652607,2.978726
aligned_tom240_P0004.mrc,2,7.680100,4.183250,-5.724530,18.602833
aligned_tom240_P0005.mrc,1,7.714767,1.530307,9.260756,0.433985
aligned_tom240_P0006.mrc,1,5.663600,1.042336,8.774539,-3.231442
aligned_tom241_P0001.mrc,1,7.207693,1.067268,3.093371,-14.503350
aligned_tom241_P0002.mrc,1,6.782811,1.233906,5.431080,-13.643232
aligned_tom241_P0003.mrc,2,7.930921,5.294521,0.946588,24.850321
aligned_tom241_P0004.mrc,1,7.670646,1.258474,-9.141565,0.507297
aligned_tom242_P0001.mrc,1,5.851964,2.467380,-6.159277,7.019881
aligned_tom242_P0002.mrc,1,6.897586,0.319077,-0.419877,-16.607878
aligned_tom243_P0001.mrc,1,7.756739,0.832594,8.185070,-9.700959
aligned_tom244_P0001.mrc,1,7.666960,-0.465697,-5.209192,-8.437424
aligned_tom244_P0002.mrc,1,6.537696,0.754555,4.444939,-10.012288
aligned_tom244_P0003.mrc,1,5.995420,0.259212,4.110998,-20.538700
aligned_tom244_P0004.mrc,1,7.056988,3.067221,-11.020076,-0.972603
aligned_tom245_P0001.mrc,1,6.719099,1.626815,2.930037,-6.073333
aligned_tom246_P0001.mrc,1,6.170043,0.538229,-0.054198,-7.414223
aligned_tom246_P0002.mrc,2,7.784946,4.720620,-1.155744,16.704878
aligned_tom247_P0001.mrc,2,8.562235,4.515990,9.785123,18.668911
aligned_tom247_P0002.mrc,2,7.385497,4.172076,-1.461148,15.404122
aligned_tom247_P0003.mrc,1,6.944276,0.103941,-3.264301,-18.267962
aligned_tom247_P0004.mrc,2,7.067822,4.919258,3.639167,14.695611
